feature,importance,coefficient,direction
utilization_ratio,0.5656207613594604,0.6855131796115546,increases_risk
months_with_delay,0.4093766738238548,0.4884713878563312,increases_risk
bill_amt_6,0.18838239273372787,-0.2515692501654434,reduces_risk
pay_status_1,0.1544313300510642,0.21624459287530193,increases_risk
bill_amt_3,0.14758166191881789,0.19428161157044962,increases_risk
pay_amt_1,0.1330694499184237,-0.18346070281995489,reduces_risk
age_group_40_to_49,0.1296489838726562,0.1416582169401313,increases_risk
bill_amt_2,0.1250239541333907,0.16778074401645385,increases_risk
age,0.12444273807064914,0.1549776795174562,increases_risk
bill_amt_5,0.10654991250611133,0.1420840164578442,increases_risk
annual_income,0.1018247194366984,-0.13078413828725752,reduces_risk
limit_balance,0.09764070791402243,-0.12686496990729032,reduces_risk
credit_limit_band_low,0.09754728496430111,0.09996560427987033,increases_risk
education_university,0.09551339990744313,0.09599892679283857,increases_risk
pay_status_5,0.09466411682836075,0.13495133716540644,increases_risk
