threshold,precision,recall,f1_score,flagged_share
0.1,0.2698412698412698,0.7906976744186046,0.4023668639053254,0.39375
0.15,0.30141843971631205,0.6589147286821705,0.413625304136253,0.29375
0.2,0.35377358490566035,0.5813953488372093,0.4398826979472141,0.22083333333333333
0.25,0.384180790960452,0.5271317829457365,0.4444444444444445,0.184375
0.3,0.4405594405594406,0.4883720930232558,0.4632352941176471,0.14895833333333333
0.35,0.4909090909090909,0.4186046511627907,0.45188284518828453,0.11458333333333333
0.4,0.5465116279069767,0.3643410852713178,0.43720930232558136,0.08958333333333333
0.45,0.5675675675675675,0.32558139534883723,0.41379310344827586,0.07708333333333334
0.5,0.6727272727272727,0.2868217054263566,0.40217391304347827,0.057291666666666664
0.55,0.6590909090909091,0.2248062015503876,0.3352601156069364,0.04583333333333333
